Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
28,Mon,Gold,,"Foot Drills, Dynamics",9mi easy,Mobility/Strength A,9,Continued Build
28,Mon,Green,,"Foot Drills, Dynamics",8mi easy,Mobility/Strength A,8,
28,Mon,White,,"Foot Drills, Dynamics",6mi easy,Mobility/Strength A,6,
28,Mon,Freshman,,"Foot Drills, Dynamics",5mi easy,Mobility/Strength A,5,
28,Tue,Gold,,"WU, Dynamics",Hills,Mobility/Strength B,7,
28,Tue,Green,,"WU, Dynamics",Hills,Mobility/Strength B,6,
28,Tue,White,,"WU, Dynamics",Hills,Mobility/Strength B,5,
28,Tue,Freshman,,"WU, Dynamics",Hills,Mobility/Strength B,3,
28,Wed,Gold,,"Awesomizer, Lunge Matrix",9mi easy,"Mobilty A, 18s",9,
28,Wed,Green,,"Awesomizer, Lunge Matrix",8mi easy,"Mobilty A, 18s",8,
28,Wed,White,,"Awesomizer, Lunge Matrix",6mi easy,"Mobilty A, 18s",6,
28,Wed,Freshman,,"Awesomizer, Lunge Matrix",5mi easy,"Mobilty A, 18s",5,
28,Thu,Gold,,"WU, Dynamics",Fartlek: 8x1:00 on (4:00 easy),Mobility/Strength B,6,
28,Thu,Green,,"WU, Dynamics",Fartlek: 7x1:00 on (4:00 easy),Mobility/Strength B,5,
28,Thu,White,,"WU, Dynamics",Fartlek: 6x1:00 on (4:00 easy),Mobility/Strength B,4,
28,Thu,Freshman,,"WU, Dynamics",Fartlek: 5x1:00 on (4:00 easy),Mobility/Strength B,3,
28,Fri,Gold,,"Foot Drills, Awesomizer",7mi easy,Post Race,7,
28,Fri,Green,,"Foot Drills, Awesomizer",5mi easy,Post Race,5,
28,Fri,White,,"Foot Drills, Awesomizer",5mi easy,Post Race,5,
28,Fri,Freshman,,"Foot Drills, Awesomizer",3mi easy,Post Race,3,
28,Sat,Gold,,"WU, Dynamics",Long Run 10mi or 5k Race,"Mobility A, 21s",10,
28,Sat,Green,,"WU, Dynamics",Long Run 8mi or 5k Race,"Mobility A, 21s",8,
28,Sat,White,,"WU, Dynamics",Long Run 6mi or 5k Race,"Mobility A, 21s",6,
28,Sat,Freshman,,"WU, Dynamics",Long Run 5mi or 5k Race,"Mobility A, 21s",5,
28,Sun,Gold,,"Foot Drills, Mobility A/B",REST,Strength,0,
28,Sun,Green,,"Foot Drills, Mobility A/B",REST,Strength,0,
28,Sun,White,,"Foot Drills, Mobility A/B",REST,Strength,0,
28,Sun,Freshman,,"Foot Drills, Mobility A/B",REST,Strength,0,
