Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
27,Mon,Gold,,"Foot Drills, Dynamics",6mi easy,Mobility/Strength A,6,Building Phase
27,Mon,Green,,"Foot Drills, Dynamics",5mi easy,Mobility/Strength A,5,
27,Mon,White,,"Foot Drills, Dynamics",4mi easy,Mobility/Strength A,4,
27,Mon,Freshman,,"Foot Drills, Dynamics",3mi easy,Mobility/Strength A,3,
27,Tue,Gold,,"WU, Dynamics",Fartlek: 8x1:00 on (4:00 easy),Mobility/Strength B,8,
27,Tue,Green,,"WU, Dynamics",Fartlek: 7x1:00 on (4:00 easy),Mobility/Strength B,7,
27,Tue,White,,"WU, Dynamics",Fartlek: 6x1:00 on (4:00 easy),Mobility/Strength B,6,
27,Tue,Freshman,,"WU, Dynamics",Fartlek: 5x1:00 on (4:00 easy),Mobility/Strength B,4,
27,Wed,Gold,,"Awesomizer, Lunge Matrix",5mi easy,"Mobilty A, 18s",5,
27,Wed,Green,,"Awesomizer, Lunge Matrix",4mi easy,"Mobilty A, 18s",4,
27,Wed,White,,"Awesomizer, Lunge Matrix",4mi easy,"Mobilty A, 18s",4,
27,Wed,Freshman,,"Awesomizer, Lunge Matrix",3mi easy,"Mobilty A, 18s",3,
27,Thu,Gold,,"WU, Dynamics",8mi easy or Thanksgiving Day Race,Mobility/Strength B,8,
27,Thu,Green,,"WU, Dynamics",7mi easy or Thanksgiving Day Race,Mobility/Strength B,7,
27,Thu,White,,"WU, Dynamics",6mi easy or Thanksgiving Day Race,Mobility/Strength B,6,
27,Thu,Freshman,,"WU, Dynamics",4mi easy or Thanksgiving Day Race,Mobility/Strength B,4,
27,Fri,Gold,,"Foot Drills, Awesomizer",6mi easy,Post Race,6,
27,Fri,Green,,"Foot Drills, Awesomizer",5mi easy,Post Race,5,
27,Fri,White,,"Foot Drills, Awesomizer",3mi easy,Post Race,3,
27,Fri,Freshman,,"Foot Drills, Awesomizer",3mi easy,Post Race,3,
27,Sat,Gold,,"WU, Dynamics",Long Run 9mi - Progression,"Mobility A, 21s",9,"Progression - Start off easy, run 2nd half of run faster than first."
27,Sat,Green,,"WU, Dynamics",Long Run 7mi - Progression,"Mobility A, 21s",7,
27,Sat,White,,"WU, Dynamics",Long Run 5mi - Progression,"Mobility A, 21s",5,
27,Sat,Freshman,,"WU, Dynamics",Long Run 4mi - Progression,"Mobility A, 21s",4,
27,Sun,Gold,,"Foot Drills, Mobility A/B",REST,Strength,0,
27,Sun,Green,,"Foot Drills, Mobility A/B",REST,Strength,0,
27,Sun,White,,"Foot Drills, Mobility A/B",REST,Strength,0,
27,Sun,Freshman,,"Foot Drills, Mobility A/B",REST,Strength,0,
