Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
31,Mon,Gold,,"Foot Drills, Dynamics",8mi easy,Mobility/Strength A,8,Christmas Break Recovery
31,Mon,Green,,"Foot Drills, Dynamics",7mi easy,Mobility/Strength A,7,
31,Mon,White,,"Foot Drills, Dynamics",5mi easy,Mobility/Strength A,5,
31,Mon,Freshman,,"Foot Drills, Dynamics",4mi easy,Mobility/Strength A,4,
31,Tue,Gold,,"WU, Dynamics",10min WU; Hills - 35min; 10min CD,Mobility/Strength B,10,
31,Tue,Green,,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Mobility/Strength B,9,
31,Tue,White,,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Mobility/Strength B,7,
31,Tue,Freshman,,"WU, Dynamics",10min WU; Hills - 20min; 10min CD,Mobility/Strength B,5,
31,Wed,Gold,,"Awesomizer, Lunge Matrix",7mi easy,"Mobilty A, 18s",7,
31,Wed,Green,,"Awesomizer, Lunge Matrix",6mi easy,"Mobilty A, 18s",6,
31,Wed,White,,"Awesomizer, Lunge Matrix",5mi easy,"Mobilty A, 18s",5,
31,Wed,Freshman,,"Awesomizer, Lunge Matrix",4mi easy,"Mobilty A, 18s",4,
31,Thu,Gold,,"Foot Drills, Mobility A/B",REST - Christmas Day,Strength,0,
31,Thu,Green,,"Foot Drills, Mobility A/B",REST - Christmas Day,Strength,0,
31,Thu,White,,"Foot Drills, Mobility A/B",REST - Christmas Day,Strength,0,
31,Thu,Freshman,,"Foot Drills, Mobility A/B",REST - Christmas Day,Strength,0,
31,Fri,Gold,,"WU, Dynamics",Long Run 11mi,"Mobility A, 21s",11,
31,Fri,Green,,"WU, Dynamics",Long Run 8mi,"Mobility A, 21s",8,
31,Fri,White,,"WU, Dynamics",Long Run 7mi,"Mobility A, 21s",7,
31,Fri,Freshman,,"WU, Dynamics",Long Run 5mi,"Mobility A, 21s",5,
31,Sat,Gold,,"Foot Drills, Awesomizer",8mi easy,Post Race,8,
31,Sat,Green,,"Foot Drills, Awesomizer",6mi easy,Post Race,6,
31,Sat,White,,"Foot Drills, Awesomizer",5mi easy,Post Race,5,
31,Sat,Freshman,,"Foot Drills, Awesomizer",4mi easy,Post Race,4,
31,Sun,Gold,,"WU, Dynamics",10min WU; Fartlek: 8x2:00 on/ 3:00 off; 10min CD,Mobility/Strength B,10,
31,Sun,Green,,"WU, Dynamics",10min WU; Fartlek: 7x2:00 on/ 3:00 off; 10min CD,Mobility/Strength B,9,
31,Sun,White,,"WU, Dynamics",10min WU; Fartlek: 6x2:00 on/ 3:00 off; 10min CD,Mobility/Strength B,7,
31,Sun,Freshman,,"WU, Dynamics",10min WU; Fartlek: 5x2:00 on/ 3:00 off; 10min CD,Mobility/Strength B,5,
