Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
26,Mon,Gold,,,5mi easy,Strides + Mobility A,5,Thanksgiving Week
26,Mon,Green,,,4mi easy,Strides + Mobility A,4,
26,Mon,White,,,3mi easy,Strides + Mobility A,3,
26,Mon,Freshman,,,2mi easy,Strides + Mobility A,2,
26,Tue,Gold,Racers,,Hills,Mobility B,7,
26,Tue,Green,Racers,,Hills,Mobility B,6,
26,Tue,White,Racers,,Hills,Mobility B,5,
26,Tue,Freshman,Racers,,Hills,Mobility B,4,
26,Tue,Gold,Non-Racers,,7mi easy,Mobility B,7,
26,Tue,Green,Non-Racers,,6mi easy,Mobility B,6,
26,Tue,White,Non-Racers,,5mi easy,Mobility B,5,
26,Tue,Freshman,Non-Racers,,4mi easy,Mobility B,4,
26,Wed,Gold,,,4mi easy,Strides + Mobility A,4,
26,Wed,Green,,,4mi easy,Strides + Mobility A,4,
26,Wed,White,,,3mi easy,Strides + Mobility A,3,
26,Wed,Freshman,,,2mi easy,Strides + Mobility A,2,
26,Thu,Gold,Racers,,7mi easy,Mobility B,7,
26,Thu,Green,Racers,,6mi easy,Mobility B,6,
26,Thu,White,Racers,,5mi easy,Mobility B,5,
26,Thu,Freshman,Racers,,4mi easy,Mobility B,4,
26,Thu,Gold,Non-Racers,,7mi easy,Mobility B,7,
26,Thu,Green,Non-Racers,,6mi easy,Mobility B,6,
26,Thu,White,Non-Racers,,5mi easy,Mobility B,5,
26,Thu,Freshman,Non-Racers,,4mi easy,Mobility B,4,
26,Fri,Gold,,,5mi easy,Strides + Mobility A,5,
26,Fri,Green,,,4mi easy,Strides + Mobility A,4,
26,Fri,White,,,3mi easy,Strides + Mobility A,3,
26,Fri,Freshman,,,2mi easy,Strides + Mobility A,2,
26,Sat,Gold,Racers,,NXR - 5k,Post Race,6,
26,Sat,Green,Racers,,NXR - 5k,Post Race,6,
26,Sat,White,Racers,,NXR - 5k,Post Race,5,
26,Sat,Freshman,Racers,,NXR - 5k,Post Race,4,
26,Sat,Gold,Non-Racers,,Long Run 8mi,Post Race,8,
26,Sat,Green,Non-Racers,,Long Run 6mi,Post Race,6,
26,Sat,White,Non-Racers,,Long Run 5mi,Post Race,5,
26,Sat,Freshman,Non-Racers,,Long Run 4mi,Post Race,4,
26,Sun,Gold,,,REST,,0,
26,Sun,Green,,,REST,,0,
26,Sun,White,,,REST,,0,
26,Sun,Freshman,,,REST,,0,
