Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
34,Mon,Gold,Racer,"WU, Dynamics",10min WU; Hills - 40min; 10min CD,Strides; Mobility/Strength A,8,
34,Mon,Green,Racer,"WU, Dynamics",10min WU; Hills - 35min; 10min CD,Strides; Mobility/Strength A,7,
34,Mon,White,Racer,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Strides; Mobility/Strength A,6,
34,Mon,Freshman,Racer,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Strides; Mobility/Strength A,5,
34,Mon,Gold,Non-Racer,"Foot Drills, Dynamics",8mi easy,Strides; Mobility/Strength A,8,
34,Mon,Green,Non-Racer,"Foot Drills, Dynamics",7mi easy,Strides; Mobility/Strength A,7,
34,Mon,White,Non-Racer,"Foot Drills, Dynamics",5mi easy,Strides; Mobility/Strength A,5,
34,Mon,Freshman,Non-Racer,"Foot Drills, Dynamics",4mi easy,Strides; Mobility/Strength A,4,
34,Tue,Gold,Racer,"Foot Drills, Dynamics",8mi easy,Mobility/Strength B,8,
34,Tue,Green,Racer,"Foot Drills, Dynamics",7mi easy,Mobility/Strength B,7,
34,Tue,White,Racer,"Foot Drills, Dynamics",5mi easy,Mobility/Strength B,5,
34,Tue,Freshman,Racer,"Foot Drills, Dynamics",4mi easy,Mobility/Strength B,4,
34,Tue,Gold,Non-Racer,"WU, Dynamics",10min WU; Hills - 40min; 10min CD,Mobility/Strength B,8,
34,Tue,Green,Non-Racer,"WU, Dynamics",10min WU; Hills - 35min; 10min CD,Mobility/Strength B,7,
34,Tue,White,Non-Racer,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Mobility/Strength B,6,
34,Tue,Freshman,Non-Racer,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Mobility/Strength B,5,
34,Wed,Gold,Racer,Race Day WU,Race,Post Race,4,
34,Wed,Green,Racer,Race Day WU,Race,Post Race,4,
34,Wed,White,Racer,Race Day WU,Race,Post Race,3,
34,Wed,Freshman,Racer,Race Day WU,Race,Post Race,3,
34,Wed,Gold,Non-Racer,"Awesomizer, Lunge Matrix",7mi easy,"Strides; Mobilty A, 18s",7,
34,Wed,Green,Non-Racer,"Awesomizer, Lunge Matrix",6mi easy,"Strides; Mobilty A, 18s",6,
34,Wed,White,Non-Racer,"Awesomizer, Lunge Matrix",5mi easy,"Strides; Mobilty A, 18s",5,
34,Wed,Freshman,Non-Racer,"Awesomizer, Lunge Matrix",4mi easy,"Strides; Mobilty A, 18s",4,
34,Thu,Gold,,"WU, Dynamics",Pre Tempo: 8 laps + 6x200 cut down w/1:00 recovery,Mobility/Strength B,6,
34,Thu,Green,,"WU, Dynamics",Pre Tempo: 8 laps + 6x200 cut down w/1:00 recovery,Mobility/Strength B,6,
34,Thu,White,,"WU, Dynamics",Pre Tempo: 6 laps + 4x200 cut down w/1:00 recovery,Mobility/Strength B,5,
34,Thu,Freshman,,"WU, Dynamics",Pre Tempo: 4 laps + 4x200 cut down w/1:00 recovery,Mobility/Strength B,4,
34,Fri,Gold,,"Foot Drills, Awesomizer",8mi easy,Post Race,8,
34,Fri,Green,,"Foot Drills, Awesomizer",6mi easy,Post Race,6,
34,Fri,White,,"Foot Drills, Awesomizer",5mi easy,Post Race,5,
34,Fri,Freshman,,"Foot Drills, Awesomizer",4mi easy,Post Race,4,
34,Sat,Gold,Racer,Race Day WU,Race,Post Race,4,
34,Sat,Green,Racer,Race Day WU,Race,Post Race,4,
34,Sat,White,Racer,Race Day WU,Race,Post Race,3,
34,Sat,Freshman,Racer,Race Day WU,Race,Post Race,3,
34,Sat,Gold,Non-Racer,"WU, Dynamics",Long Run 12mi/90min - Progression,"Mobility A, 21s",12,
34,Sat,Green,Non-Racer,"WU, Dynamics",Long Run 9mi/75min - Progression,"Mobility A, 21s",9,
34,Sat,White,Non-Racer,"WU, Dynamics",Long Run 8mi/65min - Progression,"Mobility A, 21s",8,
34,Sat,Freshman,Non-Racer,"WU, Dynamics",Long Run 6.5mi/50min - Progression,"Mobility A, 21s",6.5,
34,Sun,Gold,,"Foot Drills, Mobility A/B",REST/Shakeout run for racers 2-4miles,Strength,0,
34,Sun,Green,,"Foot Drills, Mobility A/B",REST/Shakeout run for racers 2-4miles,Strength,0,
34,Sun,White,,"Foot Drills, Mobility A/B",REST/Shakeout run for racers 2-4miles,Strength,0,
34,Sun,Freshman,,"Foot Drills, Mobility A/B",REST/Shakeout run for racers 2-4miles,Strength,0,
