Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
33,Mon,Gold,,"Foot Drills, Dynamics",8mi easy,Strides; Mobility/Strength A,8,PEAK MILEAGE WEEK
33,Mon,Green,,"Foot Drills, Dynamics",7mi easy,Strides; Mobility/Strength A,7,
33,Mon,White,,"Foot Drills, Dynamics",5mi easy,Strides; Mobility/Strength A,5,
33,Mon,Freshman,,"Foot Drills, Dynamics",4mi easy,Strides; Mobility/Strength A,4,
33,Tue,Gold,,"WU, Dynamics",10min WU; Hills - 40min; 10min CD,Mobility/Strength B,9,
33,Tue,Green,,"WU, Dynamics",10min WU; Hills - 35min; 10min CD,Mobility/Strength B,8,
33,Tue,White,,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Mobility/Strength B,7,
33,Tue,Freshman,,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Mobility/Strength B,6,
33,Wed,Gold,,"Awesomizer, Lunge Matrix",7mi easy,"Strides; Mobilty A, 18s",7,
33,Wed,Green,,"Awesomizer, Lunge Matrix",6mi easy,"Strides; Mobilty A, 18s",6,
33,Wed,White,,"Awesomizer, Lunge Matrix",5mi easy,"Strides; Mobilty A, 18s",5,
33,Wed,Freshman,,"Awesomizer, Lunge Matrix",4mi easy,"Strides; Mobilty A, 18s",4,
33,Thu,Gold,,"WU, Dynamics",10min WU; Fartlek: 8x2:00 on/ 3:00 off; 10min CD,Mobility/Strength B,9,
33,Thu,Green,,"WU, Dynamics",10min WU; Fartlek: 7x2:00 on/ 3:00 off; 10min CD,Mobility/Strength B,8,
33,Thu,White,,"WU, Dynamics",10min WU; Fartlek: 6x2:00 on/ 3:00 off; 10min CD,Mobility/Strength B,7,
33,Thu,Freshman,,"WU, Dynamics",10min WU; Fartlek: 5x2:00 on/ 3:00 off; 10min CD,Mobility/Strength B,6,
33,Fri,Gold,,"Foot Drills, Awesomizer",8mi easy,Post Race,8,
33,Fri,Green,,"Foot Drills, Awesomizer",6mi easy,Post Race,6,
33,Fri,White,,"Foot Drills, Awesomizer",5mi easy,Post Race,5,
33,Fri,Freshman,,"Foot Drills, Awesomizer",4mi easy,Post Race,4,
33,Sat,Gold,,"WU, Dynamics",Long Run 12mi/90min - Progression,"Mobility A, 21s",12,
33,Sat,Green,,"WU, Dynamics",Long Run 9mi/75min - Progression,"Mobility A, 21s",9,
33,Sat,White,,"WU, Dynamics",Long Run 8mi/65min - Progression,"Mobility A, 21s",8,
33,Sat,Freshman,,"WU, Dynamics",Long Run 6.5mi/50min - Progression,"Mobility A, 21s",6.5,
33,Sun,Gold,,"Foot Drills, Mobility A/B",REST,Strength,0,
33,Sun,Green,,"Foot Drills, Mobility A/B",REST,Strength,0,
33,Sun,White,,"Foot Drills, Mobility A/B",REST,Strength,0,
33,Sun,Freshman,,"Foot Drills, Mobility A/B",REST,Strength,0,
