Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
34,Mon,Gold,,"Foot Drills, Dynamics",8mi easy,Strides; Mobility/Strength A,8,
34,Mon,Green,,"Foot Drills, Dynamics",7mi easy,Strides; Mobility/Strength A,7,
34,Mon,White,,"Foot Drills, Dynamics",5mi easy,Strides; Mobility/Strength A,5,
34,Mon,Freshman,,"Foot Drills, Dynamics",4mi easy,Strides; Mobility/Strength A,4,
34,Tue,Gold,,"WU, Dynamics",10min WU; Fartlek: 5-4-3-2-1 w/ half recovery; 10min CD + 6x200 CD,Mobility/Strength B,7,
34,Tue,Green,,"WU, Dynamics",10min WU; Fartlek: 5-4-3-2-1 w/ half recovery; 10min CD + 6x200 CD,Mobility/Strength B,7,
34,Tue,White,,"WU, Dynamics",10min WU; Fartlek: 5-4-3-2-1 w/ half recovery; 10min CD + 4x200 CD,Mobility/Strength B,6,
34,Tue,Freshman,,"WU, Dynamics",10min WU; Fartlek: 5-4-3-2-1 w/ half recovery; 10min CD + 2x200 CD,Mobility/Strength B,5,
34,Wed,Gold,,"Awesomizer, Lunge Matrix",7mi easy,"Strides; Mobilty A, 18s",7,
34,Wed,Green,,"Awesomizer, Lunge Matrix",6mi easy,"Strides; Mobilty A, 18s",6,
34,Wed,White,,"Awesomizer, Lunge Matrix",5mi easy,"Strides; Mobilty A, 18s",5,
34,Wed,Freshman,,"Awesomizer, Lunge Matrix",4mi easy,"Strides; Mobilty A, 18s",4,
34,Thu,Gold,,"WU, Dynamics",10min WU; Hills - 35min; 10min CD,Mobility/Strength B,7,
34,Thu,Green,,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Mobility/Strength B,6,
34,Thu,White,,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Mobility/Strength B,5,
34,Thu,Freshman,,"WU, Dynamics",10min WU; Hills - 20min; 10min CD,Mobility/Strength B,4,
34,Fri,Gold,,"Foot Drills, Awesomizer",8mi easy,Post Race,8,
34,Fri,Green,,"Foot Drills, Awesomizer",6mi easy,Post Race,6,
34,Fri,White,,"Foot Drills, Awesomizer",5mi easy,Post Race,5,
34,Fri,Freshman,,"Foot Drills, Awesomizer",4mi easy,Post Race,4,
34,Sat,Gold,Non-Racer,"WU, Dynamics",Long Run 12mi/90min - Progression,"Mobility A, 21s",12,
34,Sat,Green,Non-Racer,"WU, Dynamics",Long Run 9mi/75min - Progression,"Mobility A, 21s",9,
34,Sat,White,Non-Racer,"WU, Dynamics",Long Run 8mi/65min - Progression,"Mobility A, 21s",8,
34,Sat,Freshman,Non-Racer,"WU, Dynamics",Long Run 6.5mi/50min - Progression,"Mobility A, 21s",6.5,
34,Sat,Gold,Racer,"WU, Dynamics",5mi easy,Post Race,5,
34,Sat,Green,Racer,"WU, Dynamics",4mi easy,Post Race,4,
34,Sat,White,Racer,"WU, Dynamics",3mi easy,Post Race,3,
34,Sat,Freshman,Racer,"WU, Dynamics",3mi easy,Post Race,3,
34,Sun,Gold,Non-Racer,"Foot Drills, Mobility A/B",REST,Strength,0,
34,Sun,Green,Non-Racer,"Foot Drills, Mobility A/B",REST,Strength,0,
34,Sun,White,Non-Racer,"Foot Drills, Mobility A/B",REST,Strength,0,
34,Sun,Freshman,Non-Racer,"Foot Drills, Mobility A/B",REST,Strength,0,
34,Sun,Gold,Racer,Race Day WU,Race,Post Race,4,
34,Sun,Green,Racer,Race Day WU,Race,Post Race,4,
34,Sun,White,Racer,Race Day WU,Race,Post Race,3,
34,Sun,Freshman,Racer,Race Day WU,Race,Post Race,3,
