Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
32,Mon,Gold,,"Foot Drills, Dynamics",8mi easy,Mobility/Strength A,8,Post-Break Build
32,Mon,Green,,"Foot Drills, Dynamics",7mi easy,Mobility/Strength A,7,
32,Mon,White,,"Foot Drills, Dynamics",5mi easy,Mobility/Strength A,5,
32,Mon,Freshman,,"Foot Drills, Dynamics",4mi easy,Mobility/Strength A,4,
32,Tue,Gold,,"WU, Dynamics",10min WU; Hills - 35min; 10min CD,Mobility/Strength B,10,
32,Tue,Green,,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Mobility/Strength B,9,
32,Tue,White,,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Mobility/Strength B,7,
32,Tue,Freshman,,"WU, Dynamics",10min WU; Hills - 20min; 10min CD,Mobility/Strength B,5,
32,Wed,Gold,,"Awesomizer, Lunge Matrix",7mi easy,"Mobilty A, 18s",7,
32,Wed,Green,,"Awesomizer, Lunge Matrix",6mi easy,"Mobilty A, 18s",6,
32,Wed,White,,"Awesomizer, Lunge Matrix",5mi easy,"Mobilty A, 18s",5,
32,Wed,Freshman,,"Awesomizer, Lunge Matrix",4mi easy,"Mobilty A, 18s",4,
32,Thu,Gold,,"WU, Dynamics",10min WU; Fartlek: 8x1:30 on/ 3:30 off; 10min CD,Mobility/Strength B,10,
32,Thu,Green,,"WU, Dynamics",10min WU; Fartlek: 7x1:30 on/ 3:30 off; 10min CD,Mobility/Strength B,9,
32,Thu,White,,"WU, Dynamics",10min WU; Fartlek: 6x1:30 on/ 3:30 off; 10min CD,Mobility/Strength B,7,
32,Thu,Freshman,,"WU, Dynamics",10min WU; Fartlek: 5x1:30 on/ 3:30 off; 10min CD,Mobility/Strength B,5,
32,Fri,Gold,,"Foot Drills, Awesomizer",8mi easy,Post Race,8,
32,Fri,Green,,"Foot Drills, Awesomizer",6mi easy,Post Race,6,
32,Fri,White,,"Foot Drills, Awesomizer",5mi easy,Post Race,5,
32,Fri,Freshman,,"Foot Drills, Awesomizer",4mi easy,Post Race,4,
32,Sat,Gold,,"WU, Dynamics",Long Run 11mi,"Mobility A, 21s",11,
32,Sat,Green,,"WU, Dynamics",Long Run 8mi,"Mobility A, 21s",8,
32,Sat,White,,"WU, Dynamics",Long Run 7mi,"Mobility A, 21s",7,
32,Sat,Freshman,,"WU, Dynamics",Long Run 5mi,"Mobility A, 21s",5,
32,Sun,Gold,,"Foot Drills, Mobility A/B",REST,Strength,0,
32,Sun,Green,,"Foot Drills, Mobility A/B",REST,Strength,0,
32,Sun,White,,"Foot Drills, Mobility A/B",REST,Strength,0,
32,Sun,Freshman,,"Foot Drills, Mobility A/B",REST,Strength,0,
