Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
8,2026-07-13,Mon,Gold,,Foot Drills; Dynamics; Buildups,8mi easy,Strides; Mobility/Strength A,8.0,,
8,2026-07-13,Mon,Green,,Foot Drills; Dynamics; Buildups,5.5mi easy,Strides; Mobility/Strength A,5.5,,
8,2026-07-13,Mon,White,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
8,2026-07-13,Mon,Blue,,Foot Drills; Dynamics; Buildups,2mi easy,Strides; Mobility/Strength A,2.0,,
8,2026-07-13,Tue,Gold,,WU; Dynamics; stride progression,8mi easy,Strides; Mobility/Strength A,8.0,,
8,2026-07-13,Tue,Green,,WU; Dynamics; stride progression,5.5mi easy,Strides; Mobility/Strength A,5.5,,
8,2026-07-13,Tue,White,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
8,2026-07-13,Tue,Blue,,WU; Dynamics; stride progression,2mi easy,Strides; Mobility/Strength A,2.0,,
8,2026-07-13,Wed,Gold,,WU; Dynamics; stride progression,10min WU; Fartlek 1: 7x[1min on/4min steady]; 10min CD,Mobility/Strength B,7.0,,
8,2026-07-13,Wed,Green,,WU; Dynamics; stride progression,10min WU; Fartlek 1: 7x[1min on/4min steady]; 10min CD,Mobility/Strength B,6.0,,
8,2026-07-13,Wed,White,,WU; Dynamics; stride progression,10min WU; Fartlek 1: 7x[1min on/4min steady]; 10min CD,Mobility/Strength B,5.5,,
8,2026-07-13,Wed,Blue,,WU; Dynamics; stride progression,10min WU; Fartlek 1: 7x[1min on/4min steady]; 10min CD,Mobility/Strength B,5.0,,
8,2026-07-13,Thu,Gold,,WU; Dynamics; stride progression,10min WU; Hills - 35min; 10min CD,Mobility/Strength B,7.5,,
8,2026-07-13,Thu,Green,,WU; Dynamics; stride progression,10min WU; Hills - 30min; 10min CD,Mobility/Strength B,7.0,,
8,2026-07-13,Thu,White,,WU; Dynamics; stride progression,10min WU; Hills - 25min; 10min CD,Mobility/Strength B,6.0,,
8,2026-07-13,Thu,Blue,,WU; Dynamics; stride progression,10min WU; Hills - 20min; 10min CD,Mobility/Strength B,5.0,,
8,2026-07-13,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,8mi easy,6xWickets; Post Race; 24s,8.0,,
8,2026-07-13,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,5.5mi easy,6xWickets; Post Race; 24s,5.5,,
8,2026-07-13,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
8,2026-07-13,Fri,Blue,,Awesomizer; Foot Drills; Lunge Matrix,2mi easy,6xWickets; Post Race; 24s,2.0,,
8,2026-07-13,Sat,Gold,,Awesomizer; Lunge Matrix,Long Run 13mi,Strides; Mobility A; 24s,13.0,,
8,2026-07-13,Sat,Green,,Awesomizer; Lunge Matrix,Long Run 10mi,Strides; Mobility A; 24s,10.0,,
8,2026-07-13,Sat,White,,Awesomizer; Lunge Matrix,Long Run 8mi,Strides; Mobility A; 24s,8.0,,
8,2026-07-13,Sat,Blue,,Awesomizer; Lunge Matrix,Long Run 5mi,Strides; Mobility A; 24s,5.0,,
8,2026-07-13,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
8,2026-07-13,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
8,2026-07-13,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
8,2026-07-13,Sun,Blue,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
