Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
39,Mon,Gold,,"Foot Drills, Dynamics",6mi easy,Strides; Mobility/Strength A,6.0,,
39,Mon,Green,,"Foot Drills, Dynamics",5mi easy,Strides; Mobility/Strength A,5.0,,
39,Mon,White,,"Foot Drills, Dynamics",4.5mi easy,Strides; Mobility/Strength A,4.5,,
39,Mon,Freshman,,"Foot Drills, Dynamics",4mi easy,Strides; Mobility/Strength A,4.0,,
39,Tue,Gold,,"Foot Drills, Dynamics",2x200@mile+12x400@5k (200j) + 2x200@800,Strides; Mobility/Strength A,6.5,athlete_groups.html,
39,Tue,Green,,"Foot Drills, Dynamics",2x200@mile+12x400@5k (200j) + 2x200@800,Strides; Mobility/Strength A,5.5,athlete_groups.html,
39,Tue,White,,"Foot Drills, Dynamics",2x200@mile+12x400@5k (200j) + 2x200@800,Strides; Mobility/Strength A,5.0,athlete_groups.html,
39,Tue,Freshman,,"Foot Drills, Dynamics",2x200@mile+12x400@5k (200j) + 2x200@800,Strides; Mobility/Strength A,4.0,athlete_groups.html,
39,Wed,Gold,,"Awesomizer, Lunge Matrix",6mi easy,"Strides; Mobilty A, 18s",6.0,,
39,Wed,Green,,"Awesomizer, Lunge Matrix",5mi easy,"Strides; Mobilty A, 18s",5.0,,
39,Wed,White,,"Awesomizer, Lunge Matrix",4.5mi easy,"Strides; Mobilty A, 18s",4.5,,
39,Wed,Freshman,,"Awesomizer, Lunge Matrix",4mi easy,"Strides; Mobilty A, 18s",4.0,,
39,Thu,Gold,,"WU, Dynamics",Pre Tempo + 6x200 cut down,Mobility/Strength B,8.0,athlete_groups.html,
39,Thu,Green,,"WU, Dynamics",Pre Tempo + 6x200 cut down,Mobility/Strength B,7.0,athlete_groups.html,
39,Thu,White,,"WU, Dynamics",Pre Tempo + 6x200 cut down,Mobility/Strength B,6.0,athlete_groups.html,
39,Thu,Freshman,,"WU, Dynamics",Pre Tempo + 6x200 cut down,Mobility/Strength B,5.0,athlete_groups.html,
39,Fri,Gold,,"Foot Drills, Awesomizer",6mi easy,Post Race,6.0,,
39,Fri,Green,,"Foot Drills, Awesomizer",5mi easy,Post Race,5.0,,
39,Fri,White,,"Foot Drills, Awesomizer",4.5mi easy,Post Race,4.5,,
39,Fri,Freshman,,"Foot Drills, Awesomizer",4mi easy,Post Race,4.0,,
39,Sat,Gold,JV,"Foot Drills, Dynamics",12x200@mile (200j)+4x200@800 (45s),Strides; Mobility/Strength A,6.5,athlete_groups.html,
39,Sat,Gold,Varsity,"Foot Drills, Dynamics",6mi easy,Strides; Mobility/Strength A,6.0,athlete_groups.html,
39,Sat,Green,JV,"Foot Drills, Dynamics",12x200@mile (200j)+4x200@800 (45s),Strides; Mobility/Strength A,5.5,athlete_groups.html,
39,Sat,Green,Varsity,"Foot Drills, Dynamics",5mi easy,Strides; Mobility/Strength A,5.0,athlete_groups.html,
39,Sat,White,JV,"Foot Drills, Dynamics",12x200@mile (200j)+4x200@800 (45s),Strides; Mobility/Strength A,5.0,athlete_groups.html,
39,Sat,White,Varsity,"Foot Drills, Dynamics",4.5mi easy,Strides; Mobility/Strength A,4.5,athlete_groups.html,
39,Sat,Freshman,JV,"Foot Drills, Dynamics",12x200@mile (200j)+4x200@800 (45s),Strides; Mobility/Strength A,4.0,athlete_groups.html,
39,Sat,Freshman,Varsity,"Foot Drills, Dynamics",4mi easy,Strides; Mobility/Strength A,4.0,athlete_groups.html,
39,Sun,Gold,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
39,Sun,Gold,Varsity,Race Day WU,Race,Post Race,4.0,,
39,Sun,Green,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
39,Sun,Green,Varsity,Race Day WU,Race,Post Race,4.0,,
39,Sun,White,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
39,Sun,White,Varsity,Race Day WU,Race,Post Race,3.0,,
39,Sun,Freshman,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
39,Sun,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,,
