Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
46,Mon,Gold,,Foot Drills; Dynamics; Buildups,5mi easy,Strides; Mobility/Strength A,5.0,,
46,Mon,Green,,Foot Drills; Dynamics; Buildups,4.5mi easy,Strides; Mobility/Strength A,4.5,,
46,Mon,White,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
46,Mon,Freshman,,Foot Drills; Dynamics; Buildups,3mi easy,Strides; Mobility/Strength A,3.0,,
46,Tue,Gold,,WU; Dynamics; stride progression,20min@T,Strides; Mobility/Strength A,5.5,athlete_groups.html,
46,Tue,Green,,WU; Dynamics; stride progression,20min@T,Strides; Mobility/Strength A,5.0,athlete_groups.html,
46,Tue,White,,WU; Dynamics; stride progression,20min@T,Strides; Mobility/Strength A,4.0,athlete_groups.html,
46,Tue,Freshman,,WU; Dynamics; stride progression,20min@T,Strides; Mobility/Strength A,3.5,athlete_groups.html,
46,Wed,Gold,,Awesomizer; Lunge Matrix,5mi easy,Strides; Mobility A; 24s,5.0,,
46,Wed,Green,,Awesomizer; Lunge Matrix,4.5mi easy,Strides; Mobility A; 24s,4.5,,
46,Wed,White,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
46,Wed,Freshman,,Awesomizer; Lunge Matrix,3mi easy,Strides; Mobility A; 24s,3.0,,
46,Thu,Gold,,WU; Dynamics; stride progression,5x600@mile (4:00) OR 6x1:30@mile (4:00),Strides; Mobility/Strength A,5.5,athlete_groups.html,
46,Thu,Green,,WU; Dynamics; stride progression,5x600@mile (4:00) OR 6x1:30@mile (4:00),Strides; Mobility/Strength A,5.0,athlete_groups.html,
46,Thu,White,,WU; Dynamics; stride progression,5x600@mile (4:00) OR 6x1:30@mile (4:00),Strides; Mobility/Strength A,4.0,athlete_groups.html,
46,Thu,Freshman,,WU; Dynamics; stride progression,5x600@mile (4:00) OR 6x1:30@mile (4:00),Strides; Mobility/Strength A,3.5,athlete_groups.html,
46,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,5mi easy,6xWickets; Post Race; 24s,5.0,,
46,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,4.5mi easy,6xWickets; Post Race; 24s,4.5,,
46,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
46,Fri,Freshman,,Awesomizer; Foot Drills; Lunge Matrix,3mi easy,6xWickets; Post Race; 24s,3.0,,
46,Sat,Gold,,Awesomizer; Lunge Matrix,Long Run 9mi/70min - Progression,Mobility A; Strength B,9.0,,
46,Sat,Green,,Awesomizer; Lunge Matrix,Long Run 7.5mi/55min - Progression,Mobility A; Strength B,7.5,,
46,Sat,White,,Awesomizer; Lunge Matrix,Long Run 6.5mi/50min - Progression,Mobility A; Strength B,6.5,,
46,Sat,Freshman,,Awesomizer; Lunge Matrix,Long Run 5.5mi/40min - Progression,Mobility A; Strength B,5.5,,
46,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
46,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
46,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
46,Sun,Freshman,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
