Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
7,2026-07-06,Mon,Gold,,Foot Drills; Dynamics; Buildups,7.5mi easy,Strides; Mobility/Strength A,7.5,,July 14 starts official mandatory practice season leading to first time trial.
7,2026-07-06,Mon,Green,,Foot Drills; Dynamics; Buildups,6mi easy,Strides; Mobility/Strength A,6.0,,
7,2026-07-06,Mon,White,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
7,2026-07-06,Mon,Blue,,Foot Drills; Dynamics; Buildups,2mi easy,Strides; Mobility/Strength A,2.0,,
7,2026-07-06,Tue,Gold,,Awesomizer; Lunge Matrix,5.5mi easy,Mobility A; Strength B,5.5,,
7,2026-07-06,Tue,Green,,Awesomizer; Lunge Matrix,5.5mi easy,Mobility A; Strength B,5.5,,
7,2026-07-06,Tue,White,,Awesomizer; Lunge Matrix,5.5mi easy,Mobility A; Strength B,5.5,,
7,2026-07-06,Tue,Blue,,Awesomizer; Lunge Matrix,5mi easy,Mobility A; Strength B,5.0,,
7,2026-07-06,Wed,Gold,,Awesomizer; Lunge Matrix,7.5mi easy,Strides; Mobility A; 24s,7.5,,
7,2026-07-06,Wed,Green,,Awesomizer; Lunge Matrix,6mi easy,Strides; Mobility A; 24s,6.0,,
7,2026-07-06,Wed,White,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
7,2026-07-06,Wed,Blue,,Awesomizer; Lunge Matrix,2mi easy,Strides; Mobility A; 24s,2.0,,
7,2026-07-06,Thu,Gold,,WU; Dynamics; stride progression,7.5mi easy,Strides; Mobility/Strength A,7.5,,
7,2026-07-06,Thu,Green,,WU; Dynamics; stride progression,6mi easy,Strides; Mobility/Strength A,6.0,,
7,2026-07-06,Thu,White,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
7,2026-07-06,Thu,Blue,,WU; Dynamics; stride progression,2mi easy,Strides; Mobility/Strength A,2.0,,
7,2026-07-06,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,7.5mi easy,6xWickets; Post Race; 24s,7.5,,
7,2026-07-06,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,6mi easy,6xWickets; Post Race; 24s,6.0,,
7,2026-07-06,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
7,2026-07-06,Fri,Blue,,Awesomizer; Foot Drills; Lunge Matrix,2mi easy,6xWickets; Post Race; 24s,2.0,,
7,2026-07-06,Sat,Gold,,Awesomizer; Lunge Matrix,Long Run 12mi,Strides; Mobility A; 24s,12.0,,
7,2026-07-06,Sat,Green,,Awesomizer; Lunge Matrix,Long Run 9.5mi,Strides; Mobility A; 24s,9.5,,
7,2026-07-06,Sat,White,,Awesomizer; Lunge Matrix,Long Run 7.5mi,Strides; Mobility A; 24s,7.5,,
7,2026-07-06,Sat,Blue,,Awesomizer; Lunge Matrix,Long Run 4.5mi,Strides; Mobility A; 24s,4.5,,
7,2026-07-06,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
7,2026-07-06,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
7,2026-07-06,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
7,2026-07-06,Sun,Blue,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
