Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
35,Mon,Gold,,"Foot Drills, Dynamics",6.5mi easy,Strides; Mobility/Strength A,6.5,,
35,Mon,Green,,"Foot Drills, Dynamics",5.5mi easy,Strides; Mobility/Strength A,5.5,,
35,Mon,White,,"Foot Drills, Dynamics",4.5mi easy,Strides; Mobility/Strength A,4.5,,
35,Mon,Freshman,,"Foot Drills, Dynamics",3.5mi easy,Strides; Mobility/Strength A,3.5,,
35,Tue,Gold,,"WU, Dynamics",10min WU; Fartlek: 5-4-3-2-1 w/ half recovery; 10min CD + 6x200 cut down,Mobility/Strength B,8.0,,
35,Tue,Green,,"WU, Dynamics",10min WU; Fartlek: 5-4-3-2-1 w/ half recovery; 10min CD + 6x200 cut down,Mobility/Strength B,7.0,,
35,Tue,White,,"WU, Dynamics",10min WU; Fartlek: 5-4-3-2-1 w/ half recovery; 10min CD + 4x200 cut down,Mobility/Strength B,6.0,,
35,Tue,Freshman,,"WU, Dynamics",10min WU; Fartlek: 5-4-3-2-1 w/ half recovery; 10min CD + 2x200 cut down,Mobility/Strength B,5.0,,
35,Wed,Gold,,"Awesomizer, Lunge Matrix",6.5mi easy,"Strides; Mobilty A, 18s",6.5,,
35,Wed,Green,,"Awesomizer, Lunge Matrix",5.5mi easy,"Strides; Mobilty A, 18s",5.5,,
35,Wed,White,,"Awesomizer, Lunge Matrix",4.5mi easy,"Strides; Mobilty A, 18s",4.5,,
35,Wed,Freshman,,"Awesomizer, Lunge Matrix",3.5mi easy,"Strides; Mobilty A, 18s",3.5,,
35,Thu,Gold,,"WU, Dynamics",10min WU; Hills - 35min; 10min CD,Mobility/Strength B,8.0,,
35,Thu,Green,,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Mobility/Strength B,7.0,,
35,Thu,White,,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Mobility/Strength B,6.0,,
35,Thu,Freshman,,"WU, Dynamics",10min WU; Hills - 20min; 10min CD,Mobility/Strength B,5.0,,
35,Fri,Gold,,"Foot Drills, Awesomizer",6.5mi easy,Post Race,6.5,,
35,Fri,Green,,"Foot Drills, Awesomizer",5.5mi easy,Post Race,5.5,,
35,Fri,White,,"Foot Drills, Awesomizer",4.5mi easy,Post Race,4.5,,
35,Fri,Freshman,,"Foot Drills, Awesomizer",3.5mi easy,Post Race,3.5,,
35,Sat,Gold,JV,"WU, Dynamics",Long Run 11mi/80min - Progression,"Mobility A, 21s",11.0,,
35,Sat,Gold,Varsity,"Foot Drills, Dynamics",6.5mi easy,Strides; Mobility/Strength A,6.5,,
35,Sat,Green,JV,"WU, Dynamics",Long Run 9mi/70min - Progression,"Mobility A, 21s",9.0,,
35,Sat,Green,Varsity,"Foot Drills, Dynamics",5.5mi easy,Strides; Mobility/Strength A,5.5,,
35,Sat,White,JV,"WU, Dynamics",Long Run 7.5mi/55min - Progression,"Mobility A, 21s",7.5,,
35,Sat,White,Varsity,"Foot Drills, Dynamics",4.5mi easy,Strides; Mobility/Strength A,4.5,,
35,Sat,Freshman,JV,"WU, Dynamics",Long Run 6mi/45min - Progression,"Mobility A, 21s",6.0,,
35,Sat,Freshman,Varsity,"Foot Drills, Dynamics",3.5mi easy,Strides; Mobility/Strength A,3.5,,
35,Sun,Gold,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
35,Sun,Gold,Varsity,Race Day WU,Race,Post Race,4.0,,
35,Sun,Green,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
35,Sun,Green,Varsity,Race Day WU,Race,Post Race,4.0,,
35,Sun,White,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
35,Sun,White,Varsity,Race Day WU,Race,Post Race,3.0,,
35,Sun,Freshman,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
35,Sun,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,,
