Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
22,2026-10-19,Mon,Gold,,WU; Dynamics; stride progression,Tempo,Mobility/Strength B,7.0,athlete_groups.html,Primary focus on qualifying for State Championships - volume significantly reduc
22,2026-10-19,Mon,Green,,WU; Dynamics; stride progression,Tempo,Mobility/Strength B,6.5,athlete_groups.html,
22,2026-10-19,Mon,White,,WU; Dynamics; stride progression,Tempo,Mobility/Strength B,5.5,athlete_groups.html,
22,2026-10-19,Mon,Blue,,WU; Dynamics; stride progression,Tempo,Mobility/Strength B,5.0,athlete_groups.html,
22,2026-10-19,Tue,Gold,,WU; Dynamics; stride progression,5.5mi easy,Strides; Mobility/Strength A,5.5,,
22,2026-10-19,Tue,Green,,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,,
22,2026-10-19,Tue,White,,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
22,2026-10-19,Tue,Blue,,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
22,2026-10-19,Wed,Gold,JV,Awesomizer; Lunge Matrix,9mi easy,Strides; Mobility A; 24s,9.0,athlete_groups.html,
22,2026-10-19,Wed,Gold,Varsity,Awesomizer; Lunge Matrix,10x300m@R (3:00),Strides; Mobility A; 24s,4.5,athlete_groups.html,
22,2026-10-19,Wed,Green,JV,Awesomizer; Lunge Matrix,7.5mi easy,Strides; Mobility A; 24s,7.5,athlete_groups.html,
22,2026-10-19,Wed,Green,Varsity,Awesomizer; Lunge Matrix,8x300m@R (3:00),Strides; Mobility A; 24s,4.0,athlete_groups.html,
22,2026-10-19,Wed,White,JV,Awesomizer; Lunge Matrix,6mi easy,Strides; Mobility A; 24s,6.0,athlete_groups.html,
22,2026-10-19,Wed,White,Varsity,Awesomizer; Lunge Matrix,6x300m@R (3:00),Strides; Mobility A; 24s,3.5,athlete_groups.html,
22,2026-10-19,Wed,Blue,JV,Awesomizer; Lunge Matrix,5mi easy,Strides; Mobility A; 24s,5.0,athlete_groups.html,
22,2026-10-19,Wed,Blue,Varsity,Awesomizer; Lunge Matrix,4x300m@R (3:00),Strides; Mobility A; 24s,3.0,athlete_groups.html,
22,2026-10-19,Thu,Gold,JV,Race Day WU,Race,Post Race,5.5,,
22,2026-10-19,Thu,Gold,Varsity,WU; Dynamics; stride progression,5.5mi easy,Strides; Mobility/Strength A,5.5,,
22,2026-10-19,Thu,Green,JV,Race Day WU,Race,Post Race,5.5,,
22,2026-10-19,Thu,Green,Varsity,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,,
22,2026-10-19,Thu,White,JV,Race Day WU,Race,Post Race,5.0,,
22,2026-10-19,Thu,White,Varsity,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
22,2026-10-19,Thu,Blue,JV,Race Day WU,Race,Post Race,5.0,,
22,2026-10-19,Thu,Blue,Varsity,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
22,2026-10-19,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,5.5mi easy,6xWickets; Post Race; 24s,5.5,,
22,2026-10-19,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,4.5mi easy,6xWickets; Post Race; 24s,4.5,,
22,2026-10-19,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,2.5mi easy,6xWickets; Post Race; 24s,2.5,,
22,2026-10-19,Fri,Blue,,Awesomizer; Foot Drills; Lunge Matrix,2.5mi easy,6xWickets; Post Race; 24s,2.5,,
22,2026-10-19,Sat,Gold,,Race Day WU,Race,Post Race,5.5,,
22,2026-10-19,Sat,Green,,Race Day WU,Race,Post Race,5.5,,
22,2026-10-19,Sat,White,,Race Day WU,Race,Post Race,5.0,,
22,2026-10-19,Sat,Blue,,Race Day WU,Race,Post Race,5.0,,
22,2026-10-19,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
22,2026-10-19,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
22,2026-10-19,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
22,2026-10-19,Sun,Blue,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
