Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
2,2026-06-01,Mon,Gold,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
2,2026-06-01,Mon,Green,,Foot Drills; Dynamics; Buildups,3mi easy,Strides; Mobility/Strength A,3.0,,
2,2026-06-01,Mon,White,,Foot Drills; Dynamics; Buildups,2.5mi easy,Strides; Mobility/Strength A,2.5,,
2,2026-06-01,Mon,Blue,,Foot Drills; Dynamics; Buildups,0mi easy,Strides; Mobility/Strength A,0.0,,
2,2026-06-01,Tue,Gold,,WU; Dynamics; stride progression,10min WU; Fartlek 1: 6x[1min on/4min steady]; 10min CD,Mobility/Strength B,7.0,,
2,2026-06-01,Tue,Green,,WU; Dynamics; stride progression,10min WU; Fartlek 1: 6x[1min on/4min steady]; 10min CD,Mobility/Strength B,6.0,,
2,2026-06-01,Tue,White,,WU; Dynamics; stride progression,10min WU; Fartlek 1: 6x[1min on/4min steady]; 10min CD,Mobility/Strength B,5.5,,
2,2026-06-01,Tue,Blue,,WU; Dynamics; stride progression,10min WU; Fartlek 1: 6x[1min on/4min steady]; 10min CD,Mobility/Strength B,0.0,,
2,2026-06-01,Wed,Gold,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
2,2026-06-01,Wed,Green,,Awesomizer; Lunge Matrix,3mi easy,Strides; Mobility A; 24s,3.0,,
2,2026-06-01,Wed,White,,Awesomizer; Lunge Matrix,2.5mi easy,Strides; Mobility A; 24s,2.5,,
2,2026-06-01,Wed,Blue,,Awesomizer; Lunge Matrix,0mi easy,Strides; Mobility A; 24s,0.0,,
2,2026-06-01,Thu,Gold,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
2,2026-06-01,Thu,Green,,WU; Dynamics; stride progression,3mi easy,Strides; Mobility/Strength A,3.0,,
2,2026-06-01,Thu,White,,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
2,2026-06-01,Thu,Blue,,WU; Dynamics; stride progression,0mi easy,Strides; Mobility/Strength A,0.0,,
2,2026-06-01,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
2,2026-06-01,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,3mi easy,6xWickets; Post Race; 24s,3.0,,
2,2026-06-01,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,2.5mi easy,6xWickets; Post Race; 24s,2.5,,
2,2026-06-01,Fri,Blue,,Awesomizer; Foot Drills; Lunge Matrix,0mi easy,6xWickets; Post Race; 24s,0.0,,
2,2026-06-01,Sat,Gold,,Awesomizer; Lunge Matrix,Long Run 8mi,Strides; Mobility A; 24s,8.0,,
2,2026-06-01,Sat,Green,,Awesomizer; Lunge Matrix,Long Run 6mi,Strides; Mobility A; 24s,6.0,,
2,2026-06-01,Sat,White,,Awesomizer; Lunge Matrix,Long Run 5mi,Strides; Mobility A; 24s,5.0,,
2,2026-06-01,Sat,Blue,,Awesomizer; Lunge Matrix,Long Run 0mi,Strides; Mobility A; 24s,0.0,,
2,2026-06-01,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
2,2026-06-01,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
2,2026-06-01,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
2,2026-06-01,Sun,Blue,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
