Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
42,Mon,Gold,,Foot Drills; Dynamics; Buildups,6mi easy,Strides; Mobility/Strength A,6.0,,
42,Mon,Green,,Foot Drills; Dynamics; Buildups,5mi easy,Strides; Mobility/Strength A,5.0,,
42,Mon,White,,Foot Drills; Dynamics; Buildups,4.5mi easy,Strides; Mobility/Strength A,4.5,,
42,Mon,Freshman,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
42,Tue,Gold,,WU; Dynamics; stride progression,6mi easy,Strides; Mobility/Strength A,6.0,,
42,Tue,Green,,WU; Dynamics; stride progression,5mi easy,Strides; Mobility/Strength A,5.0,,
42,Tue,White,,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,,
42,Tue,Freshman,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
42,Wed,Gold,,Race Day WU,Time Trial: 600m/300m + 6-8x400m@3k (60s),Mobility/Strength A,6.5,athlete_groups.html,
42,Wed,Green,,Race Day WU,Time Trial: 600m/300m + 6-8x400m@3k (60s),Mobility/Strength A,5.5,athlete_groups.html,
42,Wed,White,,Race Day WU,Time Trial: 600m/300m + 6-8x400m@3k (60s),Mobility/Strength A,5.0,athlete_groups.html,
42,Wed,Freshman,,Race Day WU,Time Trial: 600m/300m + 6-8x400m@3k (60s),Mobility/Strength A,4.0,athlete_groups.html,
42,Thu,Gold,,WU; Dynamics; stride progression,6mi easy,Strides; Mobility/Strength A,6.0,,
42,Thu,Green,,WU; Dynamics; stride progression,5mi easy,Strides; Mobility/Strength A,5.0,,
42,Thu,White,,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,,
42,Thu,Freshman,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
42,Fri,Gold,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,6.5,athlete_groups.html,
42,Fri,Green,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,5.5,athlete_groups.html,
42,Fri,White,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,5.0,athlete_groups.html,
42,Fri,Freshman,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,4.0,athlete_groups.html,
42,Sat,Gold,,Awesomizer; Lunge Matrix,Long Run 10mi/75min - Progression,Mobility A; Strength B,10.0,,
42,Sat,Green,,Awesomizer; Lunge Matrix,Long Run 9mi/70min - Progression,Mobility A; Strength B,9.0,,
42,Sat,White,,Awesomizer; Lunge Matrix,Long Run 7.5mi/55min - Progression,Mobility A; Strength B,7.5,,
42,Sat,Freshman,,Awesomizer; Lunge Matrix,Long Run 6.5mi/50min - Progression,Mobility A; Strength B,6.5,,
42,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
42,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
42,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
42,Sun,Freshman,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
