Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
50,2026-05-04,Mon,Gold,JV,Foot Drills; Dynamics; Buildups,4.5mi easy,Strides; Mobility/Strength A,4.5,,
50,2026-05-04,Mon,Gold,Varsity,Foot Drills; Dynamics; Buildups,12x200@800 (15s),Strides; Mobility/Strength A,5.0,,
50,2026-05-04,Mon,Green,JV,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
50,2026-05-04,Mon,Green,Varsity,Foot Drills; Dynamics; Buildups,12x200@800 (15s),Strides; Mobility/Strength A,4.0,,
50,2026-05-04,Mon,White,JV,Foot Drills; Dynamics; Buildups,3mi easy,Strides; Mobility/Strength A,3.0,,
50,2026-05-04,Mon,White,Varsity,Foot Drills; Dynamics; Buildups,12x200@800 (15s),Strides; Mobility/Strength A,3.5,,
50,2026-05-04,Mon,Freshman,JV,Foot Drills; Dynamics; Buildups,2.5mi easy,Strides; Mobility/Strength A,2.5,,
50,2026-05-04,Mon,Freshman,Varsity,Foot Drills; Dynamics; Buildups,12x200@800 (15s),Strides; Mobility/Strength A,3.0,,
50,2026-05-04,Tue,Gold,JV,Race Day WU,Race,Post Race,4.0,,
50,2026-05-04,Tue,Gold,Varsity,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,,
50,2026-05-04,Tue,Green,JV,Race Day WU,Race,Post Race,4.0,,
50,2026-05-04,Tue,Green,Varsity,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
50,2026-05-04,Tue,White,JV,Race Day WU,Race,Post Race,3.0,,
50,2026-05-04,Tue,White,Varsity,WU; Dynamics; stride progression,3mi easy,Strides; Mobility/Strength A,3.0,,
50,2026-05-04,Tue,Freshman,JV,Race Day WU,Race,Post Race,3.0,,
50,2026-05-04,Tue,Freshman,Varsity,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
50,2026-05-04,Wed,Gold,,Race Day WU,Race,Post Race,4.0,,
50,2026-05-04,Wed,Green,,Race Day WU,Race,Post Race,4.0,,
50,2026-05-04,Wed,White,,Race Day WU,Race,Post Race,3.0,,
50,2026-05-04,Wed,Freshman,,Race Day WU,Race,Post Race,3.0,,
50,2026-05-04,Thu,Gold,,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,,
50,2026-05-04,Thu,Green,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
50,2026-05-04,Thu,White,,WU; Dynamics; stride progression,3mi easy,Strides; Mobility/Strength A,3.0,,
50,2026-05-04,Thu,Freshman,,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
50,2026-05-04,Fri,Gold,JV,Race Day WU,Race,Post Race,4.0,,
50,2026-05-04,Fri,Gold,Varsity,Awesomizer; Foot Drills; Lunge Matrix,4.5mi easy,6xWickets; Post Race; 24s,4.5,,
50,2026-05-04,Fri,Green,JV,Race Day WU,Race,Post Race,4.0,,
50,2026-05-04,Fri,Green,Varsity,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
50,2026-05-04,Fri,White,JV,Race Day WU,Race,Post Race,3.0,,
50,2026-05-04,Fri,White,Varsity,Awesomizer; Foot Drills; Lunge Matrix,3mi easy,6xWickets; Post Race; 24s,3.0,,
50,2026-05-04,Fri,Freshman,JV,Race Day WU,Race,Post Race,3.0,,
50,2026-05-04,Fri,Freshman,Varsity,Awesomizer; Foot Drills; Lunge Matrix,2.5mi easy,6xWickets; Post Race; 24s,2.5,,
50,2026-05-04,Sat,Gold,,Awesomizer; Lunge Matrix,Progression,Mobility A; Strength B,7.5,,
50,2026-05-04,Sat,Green,,Awesomizer; Lunge Matrix,Progression,Mobility A; Strength B,6.5,,
50,2026-05-04,Sat,White,,Awesomizer; Lunge Matrix,Progression,Mobility A; Strength B,5.5,,
50,2026-05-04,Sat,Freshman,,Awesomizer; Lunge Matrix,Progression,Mobility A; Strength B,4.5,,
50,2026-05-04,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
50,2026-05-04,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
50,2026-05-04,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
50,2026-05-04,Sun,Freshman,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
