Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
4,2026-06-15,Mon,Gold,,Foot Drills; Dynamics; Buildups,6mi easy,Strides; Mobility/Strength A,6.0,,
4,2026-06-15,Mon,Green,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
4,2026-06-15,Mon,White,,Foot Drills; Dynamics; Buildups,3mi easy,Strides; Mobility/Strength A,3.0,,
4,2026-06-15,Mon,Blue,,Foot Drills; Dynamics; Buildups,2mi easy,Strides; Mobility/Strength A,2.0,,
4,2026-06-15,Tue,Gold,,WU; Dynamics; stride progression,10min WU; Fartlek 2: 5x[2min on/3min steady]; 10min CD,Mobility/Strength B,7.0,,
4,2026-06-15,Tue,Green,,WU; Dynamics; stride progression,10min WU; Fartlek 2: 5x[2min on/3min steady]; 10min CD,Mobility/Strength B,6.0,,
4,2026-06-15,Tue,White,,WU; Dynamics; stride progression,10min WU; Fartlek 2: 5x[2min on/3min steady]; 10min CD,Mobility/Strength B,5.5,,
4,2026-06-15,Tue,Blue,,WU; Dynamics; stride progression,10min WU; Fartlek 2: 5x[2min on/3min steady]; 10min CD,Mobility/Strength B,5.0,,
4,2026-06-15,Wed,Gold,,Awesomizer; Lunge Matrix,6mi easy,Strides; Mobility A; 24s,6.0,,
4,2026-06-15,Wed,Green,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
4,2026-06-15,Wed,White,,Awesomizer; Lunge Matrix,3mi easy,Strides; Mobility A; 24s,3.0,,
4,2026-06-15,Wed,Blue,,Awesomizer; Lunge Matrix,2mi easy,Strides; Mobility A; 24s,2.0,,
4,2026-06-15,Thu,Gold,,WU; Dynamics; stride progression,6mi easy,Strides; Mobility/Strength A,6.0,,
4,2026-06-15,Thu,Green,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
4,2026-06-15,Thu,White,,WU; Dynamics; stride progression,3mi easy,Strides; Mobility/Strength A,3.0,,
4,2026-06-15,Thu,Blue,,WU; Dynamics; stride progression,2mi easy,Strides; Mobility/Strength A,2.0,,
4,2026-06-15,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,6mi easy,6xWickets; Post Race; 24s,6.0,,
4,2026-06-15,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
4,2026-06-15,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,3mi easy,6xWickets; Post Race; 24s,3.0,,
4,2026-06-15,Fri,Blue,,Awesomizer; Foot Drills; Lunge Matrix,2mi easy,6xWickets; Post Race; 24s,2.0,,
4,2026-06-15,Sat,Gold,,Awesomizer; Lunge Matrix,Long Run 10mi,Strides; Mobility A; 24s,10.0,,
4,2026-06-15,Sat,Green,,Awesomizer; Lunge Matrix,Long Run 8mi,Strides; Mobility A; 24s,8.0,,
4,2026-06-15,Sat,White,,Awesomizer; Lunge Matrix,Long Run 6mi,Strides; Mobility A; 24s,6.0,,
4,2026-06-15,Sat,Blue,,Awesomizer; Lunge Matrix,Long Run 3mi,Strides; Mobility A; 24s,3.0,,
4,2026-06-15,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
4,2026-06-15,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
4,2026-06-15,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
4,2026-06-15,Sun,Blue,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
