Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
43,Mon,Gold,,Foot Drills; Dynamics; Buildups,4.5mi easy,Strides; Mobility/Strength A,4.5,,
43,Mon,Green,,Foot Drills; Dynamics; Buildups,4.5mi easy,Strides; Mobility/Strength A,4.5,,
43,Mon,White,,Foot Drills; Dynamics; Buildups,4.5mi easy,Strides; Mobility/Strength A,4.5,,
43,Mon,Freshman,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
43,Tue,Gold,JV,Race Day WU,Time Trial: 1500m/400m,Mobility/Strength A,5.0,,
43,Tue,Gold,Varsity,WU; Dynamics; stride progression,10x400@mile + 6x200@800,Strides; Mobility/Strength A,5.0,,
43,Tue,Green,JV,Race Day WU,Time Trial: 1500m/400m,Mobility/Strength A,5.0,,
43,Tue,Green,Varsity,WU; Dynamics; stride progression,10x400@mile + 6x200@800,Strides; Mobility/Strength A,5.0,,
43,Tue,White,JV,Race Day WU,Time Trial: 1500m/400m,Mobility/Strength A,5.0,,
43,Tue,White,Varsity,WU; Dynamics; stride progression,10x400@mile + 6x200@800,Strides; Mobility/Strength A,5.0,,
43,Tue,Freshman,JV,Race Day WU,Time Trial: 1500m/400m,Mobility/Strength A,4.0,,
43,Tue,Freshman,Varsity,WU; Dynamics; stride progression,10x400@mile + 6x200@800,Strides; Mobility/Strength A,4.0,,
43,Wed,Gold,,Awesomizer; Lunge Matrix,4.5mi easy,Strides; Mobility A; 24s,4.5,,
43,Wed,Green,,Awesomizer; Lunge Matrix,4.5mi easy,Strides; Mobility A; 24s,4.5,,
43,Wed,White,,Awesomizer; Lunge Matrix,4.5mi easy,Strides; Mobility A; 24s,4.5,,
43,Wed,Freshman,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
43,Fri,Gold,,Race Day WU,Race,Post Race,4.0,,
43,Fri,Green,,Race Day WU,Race,Post Race,4.0,,
43,Fri,White,,Race Day WU,Race,Post Race,3.0,,
43,Fri,Freshman,,Race Day WU,Race,Post Race,3.0,,
43,Sat,Gold,JV,Race Day WU,Race,Post Race,4.0,,
43,Sat,Gold,Varsity,Race Day WU,Race,Post Race,4.0,,
43,Sat,Green,JV,Race Day WU,Race,Post Race,4.0,,
43,Sat,Green,Varsity,Race Day WU,Race,Post Race,4.0,,
43,Sat,White,JV,Race Day WU,Race,Post Race,3.0,,
43,Sat,White,Varsity,Race Day WU,Race,Post Race,3.0,,
43,Sat,Freshman,JV,Race Day WU,Race,Post Race,3.0,,
43,Sat,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,,
43,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
43,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
43,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
43,Sun,Freshman,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
