Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
44,Mon,Gold,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,6.5,athlete_groups.html,
44,Mon,Green,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,5.5,athlete_groups.html,
44,Mon,White,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,5.0,athlete_groups.html,
44,Mon,Freshman,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,4.0,athlete_groups.html,
44,Tue,Gold,,WU; Dynamics; stride progression,6mi easy,Strides; Mobility/Strength A,6.0,,
44,Tue,Green,,WU; Dynamics; stride progression,5mi easy,Strides; Mobility/Strength A,5.0,,
44,Tue,White,,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,,
44,Tue,Freshman,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
44,Wed,Gold,,Race Day WU,Race,Post Race,4.0,,
44,Wed,Green,,Race Day WU,Race,Post Race,4.0,,
44,Wed,White,,Race Day WU,Race,Post Race,3.0,,
44,Wed,Freshman,,Race Day WU,Race,Post Race,3.0,,
44,Thu,Gold,,WU; Dynamics; stride progression,12x200@800 (45s),Strides; Mobility/Strength A,6.5,athlete_groups.html,
44,Thu,Green,,WU; Dynamics; stride progression,12x200@800 (45s),Strides; Mobility/Strength A,5.5,athlete_groups.html,
44,Thu,White,,WU; Dynamics; stride progression,12x200@800 (45s),Strides; Mobility/Strength A,5.0,athlete_groups.html,
44,Thu,Freshman,,WU; Dynamics; stride progression,12x200@800 (45s),Strides; Mobility/Strength A,4.0,athlete_groups.html,
44,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,6mi easy,6xWickets; Post Race; 24s,6.0,,
44,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,5mi easy,6xWickets; Post Race; 24s,5.0,,
44,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,4.5mi easy,6xWickets; Post Race; 24s,4.5,,
44,Fri,Freshman,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
44,Sat,Gold,JV,WU; Dynamics; stride progression,10x300@mile,Strides; Mobility/Strength A,6.5,athlete_groups.html,
44,Sat,Gold,Varsity,Race Day WU,Race,Post Race,4.0,athlete_groups.html,
44,Sat,Green,JV,WU; Dynamics; stride progression,10x300@mile,Strides; Mobility/Strength A,5.5,athlete_groups.html,
44,Sat,Green,Varsity,Race Day WU,Race,Post Race,4.0,athlete_groups.html,
44,Sat,White,JV,WU; Dynamics; stride progression,10x300@mile,Strides; Mobility/Strength A,5.0,athlete_groups.html,
44,Sat,White,Varsity,Race Day WU,Race,Post Race,3.0,athlete_groups.html,
44,Sat,Freshman,JV,WU; Dynamics; stride progression,10x300@mile,Strides; Mobility/Strength A,4.0,athlete_groups.html,
44,Sat,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,athlete_groups.html,
44,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
44,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
44,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
44,Sun,Freshman,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
