Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
37,Mon,Gold,,"WU, Dynamics",10min WU; Hills - 35min; 10min CD,Mobility/Strength B,8.0,,
37,Mon,Green,,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Mobility/Strength B,7.0,,
37,Mon,White,,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Mobility/Strength B,6.0,,
37,Mon,Freshman,,"WU, Dynamics",10min WU; Hills - 20min; 10min CD,Mobility/Strength B,5.0,,
37,Tue,Gold,,"Foot Drills, Dynamics",6mi easy,Strides; Mobility/Strength A,6.0,,
37,Tue,Green,,"Foot Drills, Dynamics",5mi easy,Strides; Mobility/Strength A,5.0,,
37,Tue,White,,"Foot Drills, Dynamics",4.5mi easy,Strides; Mobility/Strength A,4.5,,
37,Tue,Freshman,,"Foot Drills, Dynamics",4mi easy,Strides; Mobility/Strength A,4.0,,
37,Wed,Gold,JV,Race Day WU,Race,Post Race,4.0,,
37,Wed,Gold,Varsity,"WU, Dynamics",10min WU; fartlek; 10min CD,Mobility/Strength B,8.0,,
37,Wed,Green,JV,Race Day WU,Race,Post Race,4.0,,
37,Wed,Green,Varsity,"WU, Dynamics",10min WU; fartlek; 10min CD,Mobility/Strength B,7.0,,
37,Wed,White,JV,Race Day WU,Race,Post Race,3.0,,
37,Wed,White,Varsity,"WU, Dynamics",10min WU; fartlek; 10min CD,Mobility/Strength B,6.0,,
37,Wed,Freshman,JV,Race Day WU,Race,Post Race,3.0,,
37,Wed,Freshman,Varsity,"WU, Dynamics",10min WU; fartlek; 10min CD,Mobility/Strength B,5.0,,
37,Thu,Gold,,"Foot Drills, Dynamics",6mi easy,Strides; Mobility/Strength A,6.0,,
37,Thu,Green,,"Foot Drills, Dynamics",5mi easy,Strides; Mobility/Strength A,5.0,,
37,Thu,White,,"Foot Drills, Dynamics",4.5mi easy,Strides; Mobility/Strength A,4.5,,
37,Thu,Freshman,,"Foot Drills, Dynamics",4mi easy,Strides; Mobility/Strength A,4.0,,
37,Fri,Gold,JV,"Foot Drills, Awesomizer",6mi easy,Post Race,6.0,,
37,Fri,Gold,Varsity,Race Day WU,Race,Post Race,4.0,,
37,Fri,Green,JV,"Foot Drills, Awesomizer",5mi easy,Post Race,5.0,,
37,Fri,Green,Varsity,Race Day WU,Race,Post Race,4.0,,
37,Fri,White,JV,"Foot Drills, Awesomizer",4.5mi easy,Post Race,4.5,,
37,Fri,White,Varsity,Race Day WU,Race,Post Race,3.0,,
37,Fri,Freshman,JV,"Foot Drills, Awesomizer",4mi easy,Post Race,4.0,,
37,Fri,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,,
37,Sat,Gold,JV,"WU, Dynamics",Long Run 10mi/75min - Progression,"Mobility A, 21s",10.0,,
37,Sat,Gold,Varsity,Race Day WU,Race,Post Race,4.0,,
37,Sat,Green,JV,"WU, Dynamics",Long Run 9mi/70min - Progression,"Mobility A, 21s",9.0,,
37,Sat,Green,Varsity,Race Day WU,Race,Post Race,4.0,,
37,Sat,White,JV,"WU, Dynamics",Long Run 7.5mi/55min - Progression,"Mobility A, 21s",7.5,,
37,Sat,White,Varsity,Race Day WU,Race,Post Race,3.0,,
37,Sat,Freshman,JV,"WU, Dynamics",Long Run 6.5mi/50min - Progression,"Mobility A, 21s",6.5,,
37,Sat,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,,
37,Sun,Gold,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
37,Sun,Gold,Varsity,"Awesomizer, Lunge Matrix",Long Run 10mi,"Strides; Mobilty A, 18s",10.0,,
37,Sun,Green,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
37,Sun,Green,Varsity,"Awesomizer, Lunge Matrix",Long Run 9mi,"Strides; Mobilty A, 18s",9.0,,
37,Sun,White,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
37,Sun,White,Varsity,"Awesomizer, Lunge Matrix",Long Run 7.5mi,"Strides; Mobilty A, 18s",7.5,,
37,Sun,Freshman,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
37,Sun,Freshman,Varsity,"Awesomizer, Lunge Matrix",Long Run 6.5mi,"Strides; Mobilty A, 18s",6.5,,
