Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
6,2026-06-29,Mon,Gold,,Foot Drills; Dynamics; Buildups,7mi easy,Strides; Mobility/Strength A,7.0,,
6,2026-06-29,Mon,Green,,Foot Drills; Dynamics; Buildups,5mi easy,Strides; Mobility/Strength A,5.0,,
6,2026-06-29,Mon,White,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
6,2026-06-29,Mon,Blue,,Foot Drills; Dynamics; Buildups,2mi easy,Strides; Mobility/Strength A,2.0,,
6,2026-06-29,Tue,Gold,,WU; Dynamics; stride progression,10min WU; Fartlek 3: 6x[3min on/2min steady]; 10min CD,Mobility/Strength B,7.0,,
6,2026-06-29,Tue,Green,,WU; Dynamics; stride progression,10min WU; Fartlek 3: 6x[3min on/2min steady]; 10min CD,Mobility/Strength B,6.0,,
6,2026-06-29,Tue,White,,WU; Dynamics; stride progression,10min WU; Fartlek 3: 6x[3min on/2min steady]; 10min CD,Mobility/Strength B,5.5,,
6,2026-06-29,Tue,Blue,,WU; Dynamics; stride progression,10min WU; Fartlek 3: 6x[3min on/2min steady]; 10min CD,Mobility/Strength B,5.0,,
6,2026-06-29,Wed,Gold,,Awesomizer; Lunge Matrix,7mi easy,Strides; Mobility A; 24s,7.0,,
6,2026-06-29,Wed,Green,,Awesomizer; Lunge Matrix,5mi easy,Strides; Mobility A; 24s,5.0,,
6,2026-06-29,Wed,White,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
6,2026-06-29,Wed,Blue,,Awesomizer; Lunge Matrix,2mi easy,Strides; Mobility A; 24s,2.0,,
6,2026-06-29,Thu,Gold,,WU; Dynamics; stride progression,7mi easy,Strides; Mobility/Strength A,7.0,,
6,2026-06-29,Thu,Green,,WU; Dynamics; stride progression,5mi easy,Strides; Mobility/Strength A,5.0,,
6,2026-06-29,Thu,White,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
6,2026-06-29,Thu,Blue,,WU; Dynamics; stride progression,2mi easy,Strides; Mobility/Strength A,2.0,,
6,2026-06-29,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,7mi easy,6xWickets; Post Race; 24s,7.0,,
6,2026-06-29,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,5mi easy,6xWickets; Post Race; 24s,5.0,,
6,2026-06-29,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
6,2026-06-29,Fri,Blue,,Awesomizer; Foot Drills; Lunge Matrix,2mi easy,6xWickets; Post Race; 24s,2.0,,
6,2026-06-29,Sat,Gold,,Awesomizer; Lunge Matrix,Long Run 11.5mi,Strides; Mobility A; 24s,11.5,,
6,2026-06-29,Sat,Green,,Awesomizer; Lunge Matrix,Long Run 9mi,Strides; Mobility A; 24s,9.0,,
6,2026-06-29,Sat,White,,Awesomizer; Lunge Matrix,Long Run 7mi,Strides; Mobility A; 24s,7.0,,
6,2026-06-29,Sat,Blue,,Awesomizer; Lunge Matrix,Long Run 4mi,Strides; Mobility A; 24s,4.0,,
6,2026-06-29,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
6,2026-06-29,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
6,2026-06-29,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
6,2026-06-29,Sun,Blue,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
