Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
38,Mon,Gold,,"Foot Drills, Dynamics",6mi easy,Strides; Mobility/Strength A,6.0,,
38,Mon,Green,,"Foot Drills, Dynamics",5mi easy,Strides; Mobility/Strength A,5.0,,
38,Mon,White,,"Foot Drills, Dynamics",4.5mi easy,Strides; Mobility/Strength A,4.5,,
38,Mon,Freshman,,"Foot Drills, Dynamics",4mi easy,Strides; Mobility/Strength A,4.0,,
38,Tue,Gold,,"WU, Dynamics",10min WU; Hills - 35min; 10min CD,Mobility/Strength B,8.0,athlete_groups.html,
38,Tue,Green,,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Mobility/Strength B,7.0,athlete_groups.html,
38,Tue,White,,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Mobility/Strength B,6.0,athlete_groups.html,
38,Tue,Freshman,,"WU, Dynamics",10min WU; Hills - 20min; 10min CD,Mobility/Strength B,5.0,athlete_groups.html,
38,Wed,Gold,,"Awesomizer, Lunge Matrix",6mi easy,"Strides; Mobilty A, 18s",6.0,,
38,Wed,Green,,"Awesomizer, Lunge Matrix",5mi easy,"Strides; Mobilty A, 18s",5.0,,
38,Wed,White,,"Awesomizer, Lunge Matrix",4.5mi easy,"Strides; Mobilty A, 18s",4.5,,
38,Wed,Freshman,,"Awesomizer, Lunge Matrix",4mi easy,"Strides; Mobilty A, 18s",4.0,,
38,Thu,Gold,JV,"WU, Dynamics",10min WU; Fartlek: 5x1:00@mile - 2:00@easy; 10min CD,Mobility/Strength B,8.0,athlete_groups.html,
38,Thu,Gold,Varsity,"WU, Dynamics",10min WU; Fartlek: 10x1:00@mile - 2:00@easy; 10min CD,Mobility/Strength B,8.0,athlete_groups.html,
38,Thu,Green,JV,"WU, Dynamics",10min WU; Fartlek: 5x1:00@mile - 2:00@easy; 10min CD,Mobility/Strength B,7.0,athlete_groups.html,
38,Thu,Green,Varsity,"WU, Dynamics",10min WU; Fartlek: 10x1:00@mile - 2:00@easy; 10min CD,Mobility/Strength B,7.0,athlete_groups.html,
38,Thu,White,JV,"WU, Dynamics",10min WU; Fartlek: 5x1:00@mile - 2:00@easy; 10min CD,Mobility/Strength B,6.0,athlete_groups.html,
38,Thu,White,Varsity,"WU, Dynamics",10min WU; Fartlek: 10x1:00@mile - 2:00@easy; 10min CD,Mobility/Strength B,6.0,athlete_groups.html,
38,Thu,Freshman,JV,"WU, Dynamics",10min WU; Fartlek: 5x1:00@mile - 2:00@easy; 10min CD,Mobility/Strength B,5.0,athlete_groups.html,
38,Thu,Freshman,Varsity,"WU, Dynamics",10min WU; Fartlek: 10x1:00@mile - 2:00@easy; 10min CD,Mobility/Strength B,5.0,athlete_groups.html,
38,Fri,Gold,JV,Race Day WU,Race,Post Race,4.0,,
38,Fri,Gold,Varsity,"Foot Drills, Awesomizer",6mi easy,Post Race,6.0,,
38,Fri,Green,JV,Race Day WU,Race,Post Race,4.0,,
38,Fri,Green,Varsity,"Foot Drills, Awesomizer",5mi easy,Post Race,5.0,,
38,Fri,White,JV,Race Day WU,Race,Post Race,3.0,,
38,Fri,White,Varsity,"Foot Drills, Awesomizer",4.5mi easy,Post Race,4.5,,
38,Fri,Freshman,JV,Race Day WU,Race,Post Race,3.0,,
38,Fri,Freshman,Varsity,"Foot Drills, Awesomizer",4mi easy,Post Race,4.0,,
38,Sat,Gold,JV,"WU, Dynamics",Long Run 10mi/75min - Progression,"Mobility A, 21s",10.0,,
38,Sat,Gold,Varsity,Race Day WU,Race,Post Race,4.0,,
38,Sat,Green,JV,"WU, Dynamics",Long Run 9mi/70min - Progression,"Mobility A, 21s",9.0,,
38,Sat,Green,Varsity,Race Day WU,Race,Post Race,4.0,,
38,Sat,White,JV,"WU, Dynamics",Long Run 7.5mi/55min - Progression,"Mobility A, 21s",7.5,,
38,Sat,White,Varsity,Race Day WU,Race,Post Race,3.0,,
38,Sat,Freshman,JV,"WU, Dynamics",Long Run 6.5mi/50min - Progression,"Mobility A, 21s",6.5,,
38,Sat,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,,
38,Sun,Gold,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
38,Sun,Gold,Varsity,"WU, Dynamics",Long Run 10mi/75min - Progression,"Mobility A, 21s",10.0,,
38,Sun,Green,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
38,Sun,Green,Varsity,"WU, Dynamics",Long Run 9mi/70min - Progression,"Mobility A, 21s",9.0,,
38,Sun,White,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
38,Sun,White,Varsity,"WU, Dynamics",Long Run 7.5mi/55min - Progression,"Mobility A, 21s",7.5,,
38,Sun,Freshman,JV,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
38,Sun,Freshman,Varsity,"WU, Dynamics",Long Run 6.5mi/50min - Progression,"Mobility A, 21s",6.5,,
