Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
19,2026-09-28,Mon,Gold,,Foot Drills; Dynamics; Buildups,9mi easy,Strides; Mobility/Strength A,9.0,,Major invitational competition provides championship-level race experience in ta
19,2026-09-28,Mon,Green,,Foot Drills; Dynamics; Buildups,7mi easy,Strides; Mobility/Strength A,7.0,,
19,2026-09-28,Mon,White,,Foot Drills; Dynamics; Buildups,5.5mi easy,Strides; Mobility/Strength A,5.5,,
19,2026-09-28,Mon,Blue,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
19,2026-09-28,Tue,Gold,JV,Race Day WU,Race,Post Race,5.5,athlete_groups.html,
19,2026-09-28,Tue,Gold,Varsity,WU; Dynamics; stride progression,5x1200m@I (3:00),Strides; Mobility/Strength A,6.0,athlete_groups.html,
19,2026-09-28,Tue,Green,JV,Race Day WU,Race,Post Race,5.5,athlete_groups.html,
19,2026-09-28,Tue,Green,Varsity,WU; Dynamics; stride progression,4x1200m@I (3:00),Strides; Mobility/Strength A,5.5,athlete_groups.html,
19,2026-09-28,Tue,White,JV,Race Day WU,Race,Post Race,5.0,athlete_groups.html,
19,2026-09-28,Tue,White,Varsity,WU; Dynamics; stride progression,3x1200m@I (3:00),Strides; Mobility/Strength A,4.5,athlete_groups.html,
19,2026-09-28,Tue,Blue,JV,Race Day WU,Race,Post Race,5.0,athlete_groups.html,
19,2026-09-28,Tue,Blue,Varsity,WU; Dynamics; stride progression,2x1200m@I (3:00),Strides; Mobility/Strength A,4.0,athlete_groups.html,
19,2026-09-28,Wed,Gold,,Awesomizer; Lunge Matrix,9mi easy,Strides; Mobility A; 24s,9.0,,
19,2026-09-28,Wed,Green,,Awesomizer; Lunge Matrix,7mi easy,Strides; Mobility A; 24s,7.0,,
19,2026-09-28,Wed,White,,Awesomizer; Lunge Matrix,5.5mi easy,Strides; Mobility A; 24s,5.5,,
19,2026-09-28,Wed,Blue,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
19,2026-09-28,Thu,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,athlete_groups.html,
19,2026-09-28,Thu,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,athlete_groups.html,
19,2026-09-28,Thu,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,athlete_groups.html,
19,2026-09-28,Thu,Blue,,Foot Drills; Mobility A/B,REST,Strength,0.0,athlete_groups.html,
19,2026-09-28,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,9mi easy,6xWickets; Post Race; 24s,9.0,,
19,2026-09-28,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,7mi easy,6xWickets; Post Race; 24s,7.0,,
19,2026-09-28,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,5.5mi easy,6xWickets; Post Race; 24s,5.5,,
19,2026-09-28,Fri,Blue,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
19,2026-09-28,Sat,Gold,,Race Day WU,Race,Post Race,5.5,,
19,2026-09-28,Sat,Green,,Race Day WU,Race,Post Race,5.5,,
19,2026-09-28,Sat,White,,Race Day WU,Race,Post Race,5.0,,
19,2026-09-28,Sat,Blue,,Race Day WU,Race,Post Race,5.0,,
19,2026-09-28,Sun,Gold,,WU; Dynamics; stride progression,9mi easy,Strides; Mobility/Strength A,9.0,athlete_groups.html,
19,2026-09-28,Sun,Green,,WU; Dynamics; stride progression,7mi easy,Strides; Mobility/Strength A,7.0,athlete_groups.html,
19,2026-09-28,Sun,White,,WU; Dynamics; stride progression,5.5mi easy,Strides; Mobility/Strength A,5.5,athlete_groups.html,
19,2026-09-28,Sun,Blue,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,athlete_groups.html,
