Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
13,2026-08-17,Mon,Gold,,Foot Drills; Dynamics; Buildups,7.5mi easy,Strides; Mobility/Strength A,7.5,,
13,2026-08-17,Mon,Green,,Foot Drills; Dynamics; Buildups,6mi easy,Strides; Mobility/Strength A,6.0,,
13,2026-08-17,Mon,White,,Foot Drills; Dynamics; Buildups,3.5mi easy,Strides; Mobility/Strength A,3.5,,
13,2026-08-17,Mon,Blue,,Foot Drills; Dynamics; Buildups,2mi easy,Strides; Mobility/Strength A,2.0,,
13,2026-08-17,Tue,Gold,,WU; Dynamics; stride progression,7.5mi easy,Strides; Mobility/Strength A,7.5,,
13,2026-08-17,Tue,Green,,WU; Dynamics; stride progression,6mi easy,Strides; Mobility/Strength A,6.0,,
13,2026-08-17,Tue,White,,WU; Dynamics; stride progression,3.5mi easy,Strides; Mobility/Strength A,3.5,,
13,2026-08-17,Tue,Blue,,WU; Dynamics; stride progression,2mi easy,Strides; Mobility/Strength A,2.0,,
13,2026-08-17,Wed,Gold,,WU; Dynamics; stride progression,10min WU; Fartlek 7x(3:00 on/2:00 off); 10min CD,Mobility/Strength B,7.0,athlete_groups.html,
13,2026-08-17,Wed,Green,,WU; Dynamics; stride progression,10min WU; Fartlek 7x(3:00 on/2:00 off); 10min CD,Mobility/Strength B,6.0,athlete_groups.html,
13,2026-08-17,Wed,White,,WU; Dynamics; stride progression,10min WU; Fartlek 7x(3:00 on/2:00 off); 10min CD,Mobility/Strength B,5.5,athlete_groups.html,
13,2026-08-17,Wed,Blue,,WU; Dynamics; stride progression,10min WU; Fartlek 7x(3:00 on/2:00 off); 10min CD,Mobility/Strength B,5.0,athlete_groups.html,
13,2026-08-17,Thu,Gold,,WU; Dynamics; stride progression,2mi@T - (1:00) - 2mi@T + 6x200m@R,Strides; Mobility/Strength A,7.0,athlete_groups.html,
13,2026-08-17,Thu,Green,,WU; Dynamics; stride progression,1mi@T - (1:00) - 1mi@T + 4x200m@R,Strides; Mobility/Strength A,5.0,athlete_groups.html,
13,2026-08-17,Thu,White,,WU; Dynamics; stride progression,1mi@T - (1:00) - 1mi@T + 2x200m@R,Strides; Mobility/Strength A,4.5,athlete_groups.html,
13,2026-08-17,Thu,Blue,,WU; Dynamics; stride progression,1mi@T - (1:00) - 1mi@T + 2x200m@R,Strides; Mobility/Strength A,4.5,athlete_groups.html,
13,2026-08-17,Fri,Gold,,Awesomizer; Lunge Matrix,Long Run 13mi,Strides; Mobility A; 24s,13.0,,
13,2026-08-17,Fri,Green,,Awesomizer; Lunge Matrix,Long Run 11mi,Strides; Mobility A; 24s,11.0,,
13,2026-08-17,Fri,White,,Awesomizer; Lunge Matrix,Long Run 8.5mi,Strides; Mobility A; 24s,8.5,,
13,2026-08-17,Fri,Blue,,Awesomizer; Lunge Matrix,Long Run 6mi,Strides; Mobility A; 24s,6.0,,
13,2026-08-17,Sat,Gold,,Race Day WU,Race,Post Race,5.5,,
13,2026-08-17,Sat,Green,,Race Day WU,Race,Post Race,5.5,,
13,2026-08-17,Sat,White,,Race Day WU,Race,Post Race,5.0,,
13,2026-08-17,Sat,Blue,,Race Day WU,Race,Post Race,5.0,,
13,2026-08-17,Sun,Gold,,WU; Dynamics; stride progression,7.5mi easy,Strides; Mobility/Strength A,7.5,,
13,2026-08-17,Sun,Green,,WU; Dynamics; stride progression,6mi easy,Strides; Mobility/Strength A,6.0,,
13,2026-08-17,Sun,White,,WU; Dynamics; stride progression,3.5mi easy,Strides; Mobility/Strength A,3.5,,
13,2026-08-17,Sun,Blue,,WU; Dynamics; stride progression,2mi easy,Strides; Mobility/Strength A,2.0,,
