Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
45,Mon,Gold,,Foot Drills; Dynamics; Buildups,6mi easy,Strides; Mobility/Strength A,6.0,,
45,Mon,Green,,Foot Drills; Dynamics; Buildups,5mi easy,Strides; Mobility/Strength A,5.0,,
45,Mon,White,,Foot Drills; Dynamics; Buildups,4.5mi easy,Strides; Mobility/Strength A,4.5,,
45,Mon,Freshman,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
45,Tue,Gold,,Race Day WU,Race,Post Race,4.0,athlete_groups.html,
45,Tue,Green,,Race Day WU,Race,Post Race,4.0,athlete_groups.html,
45,Tue,White,,Race Day WU,Race,Post Race,3.0,athlete_groups.html,
45,Tue,Freshman,,Race Day WU,Race,Post Race,3.0,athlete_groups.html,
45,Wed,Gold,,Awesomizer; Lunge Matrix,6mi easy,Strides; Mobility A; 24s,6.0,,
45,Wed,Green,,Awesomizer; Lunge Matrix,5mi easy,Strides; Mobility A; 24s,5.0,,
45,Wed,White,,Awesomizer; Lunge Matrix,4.5mi easy,Strides; Mobility A; 24s,4.5,,
45,Wed,Freshman,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
45,Thu,Gold,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,6.5,athlete_groups.html,
45,Thu,Green,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,5.5,athlete_groups.html,
45,Thu,White,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,5.0,athlete_groups.html,
45,Thu,Freshman,,Race Day WU,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,Post Race,4.0,athlete_groups.html,
45,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,6mi easy,6xWickets; Post Race; 24s,6.0,,
45,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,5mi easy,6xWickets; Post Race; 24s,5.0,,
45,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,4.5mi easy,6xWickets; Post Race; 24s,4.5,,
45,Fri,Freshman,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
45,Sat,Gold,,Awesomizer; Lunge Matrix,Long Run 10mi/75min - Progression,Mobility A; Strength B,10.0,,
45,Sat,Green,,Awesomizer; Lunge Matrix,Long Run 9mi/70min - Progression,Mobility A; Strength B,9.0,,
45,Sat,White,,Awesomizer; Lunge Matrix,Long Run 7.5mi/55min - Progression,Mobility A; Strength B,7.5,,
45,Sat,Freshman,,Awesomizer; Lunge Matrix,Long Run 6.5mi/50min - Progression,Mobility A; Strength B,6.5,,
45,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
45,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
45,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
45,Sun,Freshman,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
