Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
40,Mon,Gold,,"Foot Drills, Dynamics",6mi easy,Strides; Mobility/Strength A,6.0,,
40,Mon,Green,,"Foot Drills, Dynamics",5mi easy,Strides; Mobility/Strength A,5.0,,
40,Mon,White,,"Foot Drills, Dynamics",4.5mi easy,Strides; Mobility/Strength A,4.5,,
40,Mon,Freshman,,"Foot Drills, Dynamics",4mi easy,Strides; Mobility/Strength A,4.0,,
40,Tue,Gold,,"Foot Drills, Dynamics",2x200@mile (200j) +8x600@3k (400j) + 4x200@800 (60s),Strides; Mobility/Strength A,6.5,athlete_groups.html,
40,Tue,Green,,"Foot Drills, Dynamics",2x200@mile (200j) +8x600@3k (400j) + 4x200@800 (60s),Strides; Mobility/Strength A,5.5,athlete_groups.html,
40,Tue,White,,"Foot Drills, Dynamics",2x200@mile (200j) +8x600@3k (400j) + 4x200@800 (60s),Strides; Mobility/Strength A,5.0,athlete_groups.html,
40,Tue,Freshman,,"Foot Drills, Dynamics",2x200@mile (200j) +8x600@3k (400j) + 4x200@800 (60s),Strides; Mobility/Strength A,4.0,athlete_groups.html,
40,Wed,Gold,,"Awesomizer, Lunge Matrix",6mi easy,"Strides; Mobilty A, 18s",6.0,,
40,Wed,Green,,"Awesomizer, Lunge Matrix",5mi easy,"Strides; Mobilty A, 18s",5.0,,
40,Wed,White,,"Awesomizer, Lunge Matrix",4.5mi easy,"Strides; Mobilty A, 18s",4.5,,
40,Wed,Freshman,,"Awesomizer, Lunge Matrix",4mi easy,"Strides; Mobilty A, 18s",4.0,,
40,Thu,Gold,,"Foot Drills, Dynamics",2x200@800 (60s) +2x300@800 (90s) +1x400@800 (3:00) +2x300@800 (90s) +2x200@800 (60s),Strides; Mobility/Strength A,6.5,,
40,Thu,Green,,"Foot Drills, Dynamics",2x200@800 (60s) +2x300@800 (90s) +1x400@800 (3:00) +2x300@800 (90s) +2x200@800 (60s),Strides; Mobility/Strength A,5.5,,
40,Thu,White,,"Foot Drills, Dynamics",2x200@800 (60s) +2x300@800 (90s) +1x400@800 (3:00) +2x300@800 (90s) +2x200@800 (60s),Strides; Mobility/Strength A,5.0,,
40,Thu,Freshman,,"Foot Drills, Dynamics",2x200@800 (60s) +2x300@800 (90s) +1x400@800 (3:00) +2x300@800 (90s) +2x200@800 (60s),Strides; Mobility/Strength A,4.0,,
40,Fri,Gold,,"Foot Drills, Awesomizer",6mi easy,Post Race,6.0,,
40,Fri,Green,,"Foot Drills, Awesomizer",5mi easy,Post Race,5.0,,
40,Fri,White,,"Foot Drills, Awesomizer",4.5mi easy,Post Race,4.5,,
40,Fri,Freshman,,"Foot Drills, Awesomizer",4mi easy,Post Race,4.0,,
40,Sat,Gold,,"WU, Dynamics",Long Run 10mi/75min - Progression,"Mobility A, 21s",10.0,,
40,Sat,Green,,"WU, Dynamics",Long Run 9mi/70min - Progression,"Mobility A, 21s",9.0,,
40,Sat,White,,"WU, Dynamics",Long Run 7.5mi/55min - Progression,"Mobility A, 21s",7.5,,
40,Sat,Freshman,,"WU, Dynamics",Long Run 6.5mi/50min - Progression,"Mobility A, 21s",6.5,,
40,Sun,Gold,,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
40,Sun,Green,,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
40,Sun,White,,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
40,Sun,Freshman,,"Foot Drills, Mobility A/B",REST,Strength,0.0,,
